STATION_ID,DIRECTION,STOP_NAME,STATION_NAME,ADA,RED,BLUE,GRN,BRN,PURP,PURPExp,YEL,PINK,ORNG
40870,N,Francisco (Kimball-bound),Francisco (Brown Line),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
41220,S,Fullerton (95th-bound),Fullerton (Red; Brown & Purple Lines),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41220,S,Fullerton (Loop-bound),Fullerton (Red; Brown & Purple Lines),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
41220,N,Fullerton (Kimball-Linden-bound),Fullerton (Red; Brown & Purple Lines),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
41220,N,Fullerton (Howard-bound),Fullerton (Red; Brown & Purple Lines),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40510,S,Garfield (63rd-bound),Garfield (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41170,S,Garfield (95th-bound),Garfield (Red Line),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41170,N,Garfield (Howard-bound),Garfield (Red Line),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40510,N,Garfield (Harlem-bound),Garfield (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40490,S,Grand/Milwaukee (Forest Pk-bound),Grand (Blue Line),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40330,N,Grand/State (Howard-bound),Grand (Red Line),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40330,S,Grand/State (95th-bound),Grand (Red Line),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40490,N,Grand/Milwaukee (O'Hare-bound),Grand (Blue Line),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40760,S,Granville (95th-bound),Granville (Red Line),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40760,N,Granville (Howard-bound),Granville (Red Line),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40940,E,Halsted/63rd (Harlem-bound),Halsted (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41130,S,Halsted (Midway-bound),Halsted (Orange Line),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
40940,W,Halsted/63rd (Ashland-bound),Halsted (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41130,N,Halsted (Loop-bound),Halsted (Orange Line),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
40980,E,Harlem (Forest Pk Branch) (O'Hare-bound),Harlem (Blue Line - Forest Park Branch),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
